topic,question_id,case_study,question,a,b,c,d,e,f,g,h,i,j,k,l
"Social, political, and economic conditions and context",2.2.1.1.,Pecl,"Are cultural, traditional, and historic practices observable?
A. Yes, please describe:
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Social, political, and economic conditions and context",2.2.3.2.,Pecl,"What kind of sectors operate in the fishery?
A. Small operators
B. Large operators
C. Recreational
D. Artisanal
E. Indigenous
F. Other (please specify):",a,NA,c,d,e,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.5.3.,Pecl,"Do Social Factors (trust, social networks) confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.5.4.,Pecl,"Does Scientific Competency confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.6.1.,Pecl,"Is power in the governance system related to religion, gender, ethnic origin, political party, language, race or sexual orientation?
A. Yes, please describe:
B. No",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.7.1.,Pecl,"Do power relations cause tension within the fishery?
A. Yes, please describe:
B. No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.2.,Pecl,"Who collects and reports the fishery dependent data?
A. National government agencies
B. Regional (State, Province, Prefecture, etc.) government agencies
C. Municipal/local government agencies
D. Individual harvesters or harvester associations
E. Dealers, processors or their associations
F. Environmental NGOs
G. Community organizations
H. Other (please specify):",a,b,NA,d,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.3.,Pecl,"Are fishery-independent data (e.g., trawl survey) collected to support management?
A. Yes
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.4.,Pecl,"Who collects fishery-independent data?
A. National government agencies
B. Regional (State, Province, Prefecture, etc.) government agencies
C. Municipal/local government agencies
D. Idividual harvesters or harvester associations
E. Dealers, processors or their associations
F. Environmental NGOs
G. Community organizations
H. Universities and/or other scientific organizations
I. Other (please specify):",NA,NA,NA,NA,NA,NA,NA,h,NA,NA,NA,NA
Management context,2.4.7.5.,Pecl,"How often are fishery-independent data collected?
A. Seasonal (2 ~ 4 times a year)
B. Annual 
C. Every 2 ~ 5 years
D. Undermined frequency
E. Other (please specify):",NA,b,c,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.6.,Pecl,"Are environmental data collected to support management?
A. No
B. Yes, in situ samples
C. Yes, from buoys
D. Yes, from remote sensing
E. Yes, other (please specify):",NA,NA,NA,NA,e,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.7.,Pecl,"Who collects and manages environmental data?
A. National government agencies
B. Municipal/local government agencies
C. Individual harvesters or harvester associations
D. Dealers, processors or their associations
E. Environmental NGOs
F. Community Regional (State, Province, Prefectures, etc.)
G. Universities and/or other scientific organizations
H. Other (please specify):",NA,NA,NA,NA,e,f,g,NA,NA,NA,NA,NA
Management context,2.4.8.1.,Pecl,"What are the general types of information sources used to manage the fishery?
A. Local knowledge
B. Scientific observation
C. Stock assessment process
D. Other (please specify):",a,b,c,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.1.,Pecl,How is stock size tracked? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.2.,Pecl,"If stock assessments are in place, what types are used and who conducts them? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.3.,Pecl,"If stock assessments are not in place, are data synthesized in any manner to track stock size trends or status? If so, who conducts the synthesis? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.1.1.,Pecl,"Has the system experienced any major shocks in the last 20 years (detrimental or beneficial)?
A. No shocks
B. Environmental shocks (e.g. coral bleaching event, marine heatwave, king tide flooding or sea level rise, predator or invasive species outbreaks, disease events, typhoon/hurricane/cyclones, earthquake/tsunami, volcano, pollution, oil spills, nuclear disaster)
C. Governance/management shocks (e.g. change in political/ruling party, change in fishery management structure, change in management approach)
D. Socioeconomic shocks (e.g. military conflicts, public health crises, recessions, major supply chain disruptions)
E. Other (please specify):",NA,b,NA,d,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.2.1.,Pecl,"Please identify the most important shocks (of any type) experienced in the system that have shaped its current structure, status, and capacities. Describe briefly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.3.1.,Pecl,"What were the major impacts on natural (e.g., biological, oceanographic, coastal landscapes, habitat), human (e.g., economic, social, governmental), and coupled systems caused by the shock or shocks mentioned above? If multiple shocks occurred, please describe and be specific about which shocks caused which effects to the fishery or stock(s).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.4.1.,Pecl,"What actions were taken to alleviate such impacts, and who took (or contributed to) these actions? If multiple shocks occurred, please describe and be specific about which actions are associated with which shock.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.5.1.,Pecl,"Subsequently what happened to the natural, human, or coupled system?
A. Full recovery to the pre-shock state
B. Recovering towards the pre-shock state
C. Transformed to a different state but still providing valuable services
D. Transformed to different state but losing a majority of services
E. System still responding, outcome not yet known",NA,NA,c,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.6.1.,Pecl,"What kind of changes do we observe in the natural, human, or coupled systems if we compare pre-shock state to post-shock state? Describe briefly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.7.1.,Pecl,Did experiences during this shock lead to changes that will enhance resilience to future shocks? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate projections,2.6.1.1.,Pecl,"What types of climate change projections are available for the system?
A. Global climate models only
B. Downscaled regional projects
C. Other (please specify):",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate projections,2.6.3.1.,Pecl,What are the key limitations of available climate projections in the context of this case study? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Social, political, and economic conditions and context",2.2.1.1.,Schmidt,"Are cultural, traditional, and historic practices observable?
A. Yes, please describe:
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Social, political, and economic conditions and context",2.2.3.2.,Schmidt,"What kind of sectors operate in the fishery?
A. Small operators
B. Large operators
C. Recreational
D. Artisanal
E. Indigenous
F. Other (please specify):",a,NA,NA,d,e,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.5.3.,Schmidt,"Do Social Factors (trust, social networks) confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.5.4.,Schmidt,"Does Scientific Competency confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits",NA,NA,c,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.6.1.,Schmidt,"Is power in the governance system related to religion, gender, ethnic origin, political party, language, race or sexual orientation?
A. Yes, please describe:
B. No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.7.1.,Schmidt,"Do power relations cause tension within the fishery?
A. Yes, please describe:
B. No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.2.,Schmidt,"Who collects and reports the fishery dependent data?
A. National government agencies
B. Regional (State, Province, Prefecture, etc.) government agencies
C. Municipal/local government agencies
D. Individual harvesters or harvester associations
E. Dealers, processors or their associations
F. Environmental NGOs
G. Community organizations
H. Other (please specify):",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.3.,Schmidt,"Are fishery-independent data (e.g., trawl survey) collected to support management?
A. Yes
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.4.,Schmidt,"Who collects fishery-independent data?
A. National government agencies
B. Regional (State, Province, Prefecture, etc.) government agencies
C. Municipal/local government agencies
D. Idividual harvesters or harvester associations
E. Dealers, processors or their associations
F. Environmental NGOs
G. Community organizations
H. Universities and/or other scientific organizations
I. Other (please specify):",a,NA,NA,NA,NA,NA,NA,NA,i,NA,NA,NA
Management context,2.4.7.5.,Schmidt,"How often are fishery-independent data collected?
A. Seasonal (2 ~ 4 times a year)
B. Annual 
C. Every 2 ~ 5 years
D. Undermined frequency
E. Other (please specify):",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.6.,Schmidt,"Are environmental data collected to support management?
A. No
B. Yes, in situ samples
C. Yes, from buoys
D. Yes, from remote sensing
E. Yes, other (please specify):",NA,b,c,d,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.7.,Schmidt,"Who collects and manages environmental data?
A. National government agencies
B. Municipal/local government agencies
C. Individual harvesters or harvester associations
D. Dealers, processors or their associations
E. Environmental NGOs
F. Community Regional (State, Province, Prefectures, etc.)
G. Universities and/or other scientific organizations
H. Other (please specify):",a,NA,NA,NA,NA,NA,g,NA,NA,NA,NA,NA
Management context,2.4.8.1.,Schmidt,"What are the general types of information sources used to manage the fishery?
A. Local knowledge
B. Scientific observation
C. Stock assessment process
D. Other (please specify):",NA,b,c,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.1.,Schmidt,How is stock size tracked? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.2.,Schmidt,"If stock assessments are in place, what types are used and who conducts them? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.3.,Schmidt,"If stock assessments are not in place, are data synthesized in any manner to track stock size trends or status? If so, who conducts the synthesis? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.1.1.,Schmidt,"Has the system experienced any major shocks in the last 20 years (detrimental or beneficial)?
A. No shocks
B. Environmental shocks (e.g. coral bleaching event, marine heatwave, king tide flooding or sea level rise, predator or invasive species outbreaks, disease events, typhoon/hurricane/cyclones, earthquake/tsunami, volcano, pollution, oil spills, nuclear disaster)
C. Governance/management shocks (e.g. change in political/ruling party, change in fishery management structure, change in management approach)
D. Socioeconomic shocks (e.g. military conflicts, public health crises, recessions, major supply chain disruptions)
E. Other (please specify):",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.2.1.,Schmidt,"Please identify the most important shocks (of any type) experienced in the system that have shaped its current structure, status, and capacities. Describe briefly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.3.1.,Schmidt,"What were the major impacts on natural (e.g., biological, oceanographic, coastal landscapes, habitat), human (e.g., economic, social, governmental), and coupled systems caused by the shock or shocks mentioned above? If multiple shocks occurred, please describe and be specific about which shocks caused which effects to the fishery or stock(s).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.4.1.,Schmidt,"What actions were taken to alleviate such impacts, and who took (or contributed to) these actions? If multiple shocks occurred, please describe and be specific about which actions are associated with which shock.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.5.1.,Schmidt,"Subsequently what happened to the natural, human, or coupled system?
A. Full recovery to the pre-shock state
B. Recovering towards the pre-shock state
C. Transformed to a different state but still providing valuable services
D. Transformed to different state but losing a majority of services
E. System still responding, outcome not yet known",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.6.1.,Schmidt,"What kind of changes do we observe in the natural, human, or coupled systems if we compare pre-shock state to post-shock state? Describe briefly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.7.1.,Schmidt,Did experiences during this shock lead to changes that will enhance resilience to future shocks? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate projections,2.6.1.1.,Schmidt,"What types of climate change projections are available for the system?
A. Global climate models only
B. Downscaled regional projects
C. Other (please specify):",a,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate projections,2.6.3.1.,Schmidt,What are the key limitations of available climate projections in the context of this case study? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Social, political, and economic conditions and context",2.2.1.1.,Tokunaga,"Are cultural, traditional, and historic practices observable?
A. Yes, please describe:
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Social, political, and economic conditions and context",2.2.3.2.,Tokunaga,"What kind of sectors operate in the fishery?
A. Small operators
B. Large operators
C. Recreational
D. Artisanal
E. Indigenous
F. Other (please specify):",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.5.3.,Tokunaga,"Do Social Factors (trust, social networks) confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits
D. Both confers and limits",NA,NA,NA,d,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.5.4.,Tokunaga,"Does Scientific Competency confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits
D. Both confers and limits",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.6.1.,Tokunaga,"Is power in the governance system related to religion, gender, ethnic origin, political party, language, race or sexual orientation?
A. Yes, please describe:
B. No",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.7.1.,Tokunaga,"Do power relations cause tension within the fishery?
A. Yes, please describe:
B. No",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2.4.3.5.,Tokunaga,Providing scientific information,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.2.,Tokunaga,"Who collects and reports the fishery dependent data?
A. National government agencies
B. Regional (State, Province, Prefecture, etc.) government agencies
C. Municipal/local government agencies
D. Individual harvesters or harvester associations
E. Dealers, processors or their associations
F. Environmental NGOs
G. Community organizations
H. Other (please specify):",NA,NA,NA,NA,NA,NA,g,NA,NA,NA,NA,NA
Management context,2.4.7.3.,Tokunaga,"Are fishery-independent data (e.g., trawl survey) collected to support management?
A. Yes
B. No",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.4.,Tokunaga,"Who collects fishery-independent data?
A. National government agencies
B. Regional (State, Province, Prefecture, etc.) government agencies
C. Municipal/local government agencies
D. Idividual harvesters or harvester associations
E. Dealers, processors or their associations
F. Environmental NGOs
G. Community organizations
H. Universities and/or other scientific organizations
I. Other (please specify):",NA,NA,NA,NA,NA,NA,NA,h,NA,NA,NA,NA
Management context,2.4.7.5.,Tokunaga,"How often are fishery-independent data collected?
A. Seasonal (2 ~ 4 times a year)
B. Annual 
C. Every 2 ~ 5 years
D. Undermined frequency
E. Other (please specify):",NA,NA,NA,d,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.6.,Tokunaga,"Are environmental data collected to support management?
A. No
B. Yes, in situ samples
C. Yes, from buoys
D. Yes, from remote sensing
E. Yes, other (please specify):",NA,NA,c,d,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.7.,Tokunaga,"Who collects and manages environmental data?
A. National government agencies
B. Municipal/local government agencies
C. Individual harvesters or harvester associations
D. Dealers, processors or their associations
E. Environmental NGOs
F. Community Regional (State, Province, Prefectures, etc.)
G. Universities and/or other scientific organizations
H. Other (please specify):",a,NA,NA,NA,NA,NA,NA,h,NA,NA,NA,NA
Management context,2.4.8.1.,Tokunaga,"What are the general types of information sources used to manage the fishery?
A. Local knowledge
B. Scientific observation
C. Stock assessment process
D. Other (please specify):",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.1.,Tokunaga,How is stock size tracked? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.2.,Tokunaga,"If stock assessments are in place, what types are used and who conducts them? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.3.,Tokunaga,"If stock assessments are not in place, are data synthesized in any manner to track stock size trends or status? If so, who conducts the synthesis? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.1.1.,Tokunaga,"Has the system experienced any major shocks in the last 20 years (detrimental or beneficial)?
A. No shocks
B. Environmental shocks (e.g. coral bleaching event, marine heatwave, king tide flooding or sea level rise, predator or invasive species outbreaks, disease events, typhoon/hurricane/cyclones, earthquake/tsunami, volcano, pollution, oil spills, nuclear disaster)
C. Governance/management shocks (e.g. change in political/ruling party, change in fishery management structure, change in management approach)
D. Socioeconomic shocks (e.g. military conflicts, public health crises, recessions, major supply chain disruptions)
E. Other (please specify):",NA,b,NA,d,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.2.1.,Tokunaga,"Please identify the most important shocks (of any type) experienced in the system that have shaped its current structure, status, and capacities. Describe briefly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.3.1.,Tokunaga,"What were the major impacts on natural (e.g., biological, oceanographic, coastal landscapes, habitat), human (e.g., economic, social, governmental), and coupled systems caused by the shock or shocks mentioned above? If multiple shocks occurred, please describe and be specific about which shocks caused which effects to the fishery or stock(s).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.4.1.,Tokunaga,"What actions were taken to alleviate such impacts, and who took (or contributed to) these actions? If multiple shocks occurred, please describe and be specific about which actions are associated with which shock.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.5.1.,Tokunaga,"Subsequently what happened to the natural, human, or coupled system?
A. Full recovery to the pre-shock state
B. Recovering towards the pre-shock state
C. Transformed to a different state but still providing valuable services
D. Transformed to different state but losing a majority of services
E. System still responding, outcome not yet known",NA,NA,NA,NA,e,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.6.1.,Tokunaga,"What kind of changes do we observe in the natural, human, or coupled systems if we compare pre-shock state to post-shock state? Describe briefly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.7.1.,Tokunaga,Did experiences during this shock lead to changes that will enhance resilience to future shocks? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate projections,2.6.1.1.,Tokunaga,"What types of climate change projections are available for the system?
A. Global climate models only
B. Downscaled regional projects
C. Other (please specify):",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate projections,2.6.3.1.,Tokunaga,What are the key limitations of available climate projections in the context of this case study? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Social, political, and economic conditions and context",2.2.1.1.,Westfall,"Are cultural, traditional, and historic practices observable?
A. Yes, please describe:
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Social, political, and economic conditions and context",2.2.3.2.,Westfall,"What kind of sectors operate in the fishery?
A. Small operators
B. Large operators
C. Recreational
D. Artisanal
E. Indigenous
F. Other (please specify):",a,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.5.3.,Westfall,"Do Social Factors (trust, social networks) confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits
D. Both confers and limits",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.5.4.,Westfall,"Does Scientific Competency confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits
D. Both confers and limits",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.6.1.,Westfall,"Is power in the governance system related to religion, gender, ethnic origin, political party, language, race or sexual orientation?
A. Yes, please describe:
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.7.1.,Westfall,"Do power relations cause tension within the fishery?
A. Yes, please describe:
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2.4.3.5.,Westfall,Providing scientific information,a,b,NA,NA,NA,NA,NA,NA,NA,j,NA,NA
Management context,2.4.7.2.,Westfall,"Who collects and reports the fishery dependent data?
A. National government agencies
B. Regional (State, Province, Prefecture, etc.) government agencies
C. Municipal/local government agencies
D. Individual harvesters or harvester associations
E. Dealers, processors or their associations
F. Environmental NGOs
G. Community organizations
H. Other (please specify):",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.3.,Westfall,"Are fishery-independent data (e.g., trawl survey) collected to support management?
A. Yes
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.4.,Westfall,"Who collects fishery-independent data?
A. National government agencies
B. Regional (State, Province, Prefecture, etc.) government agencies
C. Municipal/local government agencies
D. Idividual harvesters or harvester associations
E. Dealers, processors or their associations
F. Environmental NGOs
G. Community organizations
H. Universities and/or other scientific organizations
I. Other (please specify):",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.5.,Westfall,"How often are fishery-independent data collected?
A. Seasonal (2 ~ 4 times a year)
B. Annual 
C. Every 2 ~ 5 years
D. Undermined frequency
E. Other (please specify):",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.6.,Westfall,"Are environmental data collected to support management?
A. No
B. Yes, in situ samples
C. Yes, from buoys
D. Yes, from remote sensing
E. Yes, other (please specify):",a,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.7.,Westfall,"Who collects and manages environmental data?
A. National government agencies
B. Municipal/local government agencies
C. Individual harvesters or harvester associations
D. Dealers, processors or their associations
E. Environmental NGOs
F. Community Regional (State, Province, Prefectures, etc.)
G. Universities and/or other scientific organizations
H. Other (please specify):",a,b,NA,NA,NA,NA,g,NA,NA,NA,NA,NA
Management context,2.4.8.1.,Westfall,"What are the general types of information sources used to manage the fishery?
A. Local knowledge
B. Scientific observation
C. Stock assessment process
D. Other (please specify):",NA,b,c,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.1.,Westfall,How is stock size tracked? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.2.,Westfall,"If stock assessments are in place, what types are used and who conducts them? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.3.,Westfall,"If stock assessments are not in place, are data synthesized in any manner to track stock size trends or status? If so, who conducts the synthesis? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.1.1.,Westfall,"Has the system experienced any major shocks in the last 20 years (detrimental or beneficial)?
A. No shocks
B. Environmental shocks (e.g. coral bleaching event, marine heatwave, king tide flooding or sea level rise, predator or invasive species outbreaks, disease events, typhoon/hurricane/cyclones, earthquake/tsunami, volcano, pollution, oil spills, nuclear disaster)
C. Governance/management shocks (e.g. change in political/ruling party, change in fishery management structure, change in management approach)
D. Socioeconomic shocks (e.g. military conflicts, public health crises, recessions, major supply chain disruptions)
E. Other (please specify):",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.2.1.,Westfall,"Please identify the most important shocks (of any type) experienced in the system that have shaped its current structure, status, and capacities. Describe briefly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.3.1.,Westfall,"What were the major impacts on natural (e.g., biological, oceanographic, coastal landscapes, habitat), human (e.g., economic, social, governmental), and coupled systems caused by the shock or shocks mentioned above? If multiple shocks occurred, please describe and be specific about which shocks caused which effects to the fishery or stock(s).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.4.1.,Westfall,"What actions were taken to alleviate such impacts, and who took (or contributed to) these actions? If multiple shocks occurred, please describe and be specific about which actions are associated with which shock.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.5.1.,Westfall,"Subsequently what happened to the natural, human, or coupled system?
A. Full recovery to the pre-shock state
B. Recovering towards the pre-shock state
C. Transformed to a different state but still providing valuable services
D. Transformed to different state but losing a majority of services
E. System still responding, outcome not yet known",NA,NA,NA,NA,e,NA,NA,NA,NA,NA,NA,NA
Ba,2.5.6.1.,Westfall,"What kind of changes do we observe in the natural, human, or coupled systems if we compare pre-shock state to post-shock state? Describe briefly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.7.1.,Westfall,Did experiences during this shock lead to changes that will enhance resilience to future shocks? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate projections,2.6.1.1.,Westfall,"What types of climate change projections are available for the system?
A. Global climate models only
B. Downscaled regional projects
C. Other (please specify):",a,b,c,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate projections,2.6.3.1.,Westfall,What are the key limitations of available climate projections in the context of this case study? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Social, political, and economic conditions and context",2.2.1.1.,Zhao,"Are cultural, traditional, and historic practices observable?
A. Yes, please describe:
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Social, political, and economic conditions and context",2.2.3.2.,Zhao,"What kind of sectors operate in the fishery?
A. Small operators
B. Large operators
C. Recreational
D. Artisanal
E. Indigenous
F. Other (please specify):",a,NA,c,d,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.5.3.,Zhao,"Do Social Factors (trust, social networks) confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits
D. Both confers and limits",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.5.4.,Zhao,"Does Scientific Competency confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits
D. Both confers and limits",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.6.1.,Zhao,"Is power in the governance system related to religion, gender, ethnic origin, political party, language, race or sexual orientation?
A. Yes, please describe:
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.7.1.,Zhao,"Do power relations cause tension within the fishery?
A. Yes, please describe:
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2.4.3.5.,Zhao,Providing scientific information,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.2.,Zhao,"Who collects and reports the fishery dependent data?
A. National government agencies
B. Regional (State, Province, Prefecture, etc.) government agencies
C. Municipal/local government agencies
D. Individual harvesters or harvester associations
E. Dealers, processors or their associations
F. Environmental NGOs
G. Community organizations
H. Other (please specify):",NA,NA,c,NA,NA,NA,NA,h,NA,NA,NA,NA
